mode,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,1981,3.012.042.267.400.000,5.421.846.999.999.990,250.904.205,5.993.827.249.999.990,14.683.794.661.999.900,2.250.998.999.999.990,-10.924.404.499.999.900,57.915.999.999.999.900,12.316.939.500.000.000,5.829.518.500.000.000,357.525,9
1,1982,2.895.800.382.050.000,5.642.594.000.000.000,248.357.306,5.909.193.894.999.990,10.001.638.300.000.000,20.100.675,-109.331.225,6.585.305.000.000.000,12.091.860.749.999.900,5.864.384.500.000.000,36.247,2
1,1983,2.947.778.916.300.000,5.456.292.999.999.990,2.511.236.985,6.014.252.350.000.010,14.541.052.329.000.000,1.989.224.500.000.000,-11.200.171.000.000.000,6.688.600.000.000.000,121.070.629,5.721.198.999.999.980,36.268,9
1,1984,2.877.095.803.450.000,5.303.089.499.999.980,2.518.452.565,5.910.916.750.000.010,14.517.303.973.500.000,19.770.620.000.000.000,-11.523.238.499.999.900,59.264.800.000.000.100,12.137.666.200.000.000,5.516.387.100.000.000,377.745,9
1,1985,2.965.709.032.099.990,5.556.424.000.000.010,252.276.258,6.015.154.800.000.010,11.373.855.807.499.900,19.920.644.999.999.900,-11.360.688.499.999.900,5.846.480.000.000.000,1.219.793.035.000.000,5.655.964.500.000.000,37.013.000.000.000.000,9
1,1986,28.508.065.642.499.900,5.409.334.000.000.000,2.547.084.055,6.149.545.999.999.990,10.994.085.436.499.900,21.187.945.000.000.000,-11.103.995.000.000.000,6.481.609.999.999.990,12.049.930.200.000.000,5.509.485.500.000.010,375.775,9
1,1987,3.116.640.663.948.720,5.410.193.333.333.340,2.475.433.230.769.230,5.798.395.538.461.530,10.197.451.746.666.600,20.201.810.256.410.300,-11.623.467.179.487.100,5.778.964.102.564.100,12.084.570.717.948.700,5.414.511.794.871.780,39.685.128.205.128.200,7
1,1988,32.200.994.651.282.100,5.404.594.358.974.370,2.574.425.897.435.890,5.856.792.461.538.450,11.719.038.022.051.300,20.770.753.846.153.800,-11.519.821.025.641.000,6.609.989.743.589.740,12.002.442.564.102.500,5.464.853.897.435.900,3.960.051.282.051.280,7
1,1989,3.133.512.518.150.000,5.472.274.499.999.980,2.542.035.935,584.046.375.000.001,11.318.254.461.499.900,19.908.020.000.000.000,-1.138.413.000.000.000,6.393.924.999.999.990,1.205.790.015.000.000,5.483.329.000.000.000,391.825,7
1,1990,3.328.699.505.850.000,5.352.986.500.000.000,2.564.514.035,5.715.913.950.000.000,12.582.626.809.499.900,19.096.090.000.000.000,-11.327.479.499.999.900,6.434.529.999.999.990,12.006.273.350.000.000,5.265.268.499.999.990,407.855,7
1,1991,33.276.529.163.076.900,5.558.243.589.743.590,24.591.200.615.384.600,5.594.023.641.025.630,11.509.233.979.999.900,18.862.892.307.692.300,-10.955.768.717.948.700,7.110.158.974.358.980,11.936.257.435.897.400,5.486.552.307.692.290,4.165.589.743.589.740,7
1,1992,3.208.087.638.250.000,5.550.648.499.999.980,246506.46,5.828.642.050.000.000,1.006.900.830.649.990,20.024.550.000.000.000,-10.575.404.499.999.900,7.306.230.000.000.000,12.258.621.850.000.000,5.590.983.000.000.010,42.994,7
1,1993,3.090.685.537.400.000,5.698.781.500.000.000,2.516.679.675,5.625.599.100.000.000,11.529.396.538.000.000,1.949.322.500.000.000,-10.882.701.000.000.000,7.635.054.999.999.990,12.036.493.599.999.900,5.555.684.500.000.000,429.975,7
1,1994,3.062.343.630.899.990,5.528.299.500.000.010,250.992.254,578.772.685.000.001,11.188.575.994.999.900,1.921.651.000.000.000,-10.282.273.000.000.000,7.604.935.000.000.010,11.844.516.999.999.900,5.266.491.500.000.000,450.615,7
1,1995,30.251.180.612.000.000,5.590.457.500.000.000,2.466.240.915,5.785.795.100.000.000,12.326.879.606.999.900,2.013.737.000.000.000,-10.119.450.000.000.000,8.375.444.999.999.980,11.928.197.799.999.900,5.302.466.999.999.990,44.801,0
1,1996,30.102.687.980.000.000,5.878.306.000.000.000,248.180.983,5.860.684.750.000.010,9.505.281.203.500.010,1.986.863.000.000.000,-944.381.849.999.999,8.607.765.000.000.000,11.770.835.699.999.900,5.608.732.500.000.000,44.903.999.999.999.900,7
1,1997,3.067.156.934.549.990,5.768.138.499.999.990,2.457.492.815,5.986.987.151.000.000,10.469.017.861.999.900,1.984.788.000.000.000,-9.200.875.500.000.010,8.850.605.000.000.010,11.818.231.600.000.000,5.485.525.000.000.000,45.582,7
1,1998,29.148.946.157.000.000,5.862.116.499.999.990,2.485.426.075,6.051.975.050.000.010,1.113.257.503.499.990,1.937.308.999.999.990,-8.971.167.999.999.990,9.173.105.000.000.000,11.854.010.800.000.000,5.377.209,458.945,7
1,1999,2.715.901.110.661.200,5.821.579.190.158.890,2.451.777.452.588.410,6.375.226.022.552.530,9.406.814.106.611.990,20.630.804.715.530.500,-8.266.409.533.572.530,9.440.717.580.727.800,11.950.949.051.768.300,5.564.528.446.950.280,4.725.832.906.201.940,0
1,2000,28.932.270.051.635.900,590.918.047.034.764,2.427.246.426.380.360,6.254.128.323.108.380,10.116.776.879.345.500,1.976.860.429.447.850,-8.247.765.848.670.750,8.920.541.922.290.390,1.189.993.231.083.840,5.594.754.601.226.990,466.840.490.797.546,7
1,2001,2.868.424.748.428.930,5.833.178.553.615.960,24.030.779.600.997.500,6.269.855.221.945.140,10.721.401.899.251.800,18.702.563.591.022.400,-8.305.095.261.845.380,8.918.229.426.433.910,11.776.539.900.249.300,541.479.107.231.919,4.875.012.468.827.920,7
1,2002,28.262.428.988.500.100,5.761.602.999.999.990,239.503.283,6.412.697.960.000.010,8.804.835.031.499.990,1.939.111.999.999.990,-7.686.639.500.000.010,8.430.759.999.999.990,11.923.973.849.999.900,5.423.971.500.000.000,486.555,7
1,2003,25.647.051.817.297.800,5.757.633.060.388.940,2.446.705.752.302.960,6.601.652.610.030.710,8.304.927.466.734.910,19.697.630.501.535.300,-7.485.545.035.823.950,9.392.574.206.755.380,1.209.146.218.014.320,5.305.042.476.970.320,4.862.640.736.949.840,7
1,2004,2.805.589.466.225.840,5.676.803.662.258.390,23.737.870.803.662.200,6.488.679.450.661.220,7.793.403.490.844.350,2.021.994.404.883.010,-7.601.655.137.334.680,9.423.880.976.602.240,12.129.034.587.995.900,5.244.885.554.425.220,4.927.314.343.845.370,7
1,2005,2.557.635.068.666.660,5.722.805.641.025.650,2.372.295.882.051.280,653.208.511.282.051,9.019.436.118.461.540,19.008.162.564.102.500,-746.615.897.435.897,9.333.369.230.769.200,12.161.796.666.666.600,5.325.309.230.769.230,5.095.333.333.333.330,0
1,2006,2.799.863.520.256.400,5.682.301.538.461.530,23.404.291.435.897.400,6.503.262.820.512.820,7.770.147.187.692.310,1.882.892.820.512.820,-7.265.500.512.820.510,8.584.676.923.076.920,12.179.861.538.461.500,5.200.283.076.923.070,5.131.384.615.384.610,7
1,2007,2.540.809.575.538.460,5.634.143.589.743.590,24.104.996.256.410.200,6.683.047.743.589.730,7.295.726.805.128.190,19.612.656.410.256.400,-7.044.535.897.435.890,8.434.733.333.333.330,1.240.875.164.102.560,5.167.938.461.538.470,5.107.589.743.589.740,7
1,2008,2.491.917.627.212.270,5.791.928.388.746.800,24.010.731.560.102.300,6.714.608.207.672.620,636.620.903.171.356,19.843.140.664.961.600,-68.438.040.920.716.100,7.735.636.828.644.500,12.350.993.350.383.600,5.275.418.925.831.200,5.063.017.902.813.290,0
1,2009,26.192.861.909.693.900,5.641.903.571.428.570,2.381.400.132.653.060,6.707.487.551.020.400,7.587.207.368.367.350,2.052.522.959.183.670,-70.460.147.959.183.600,8.545.780.612.244.890,1.234.638.076.530.610,5.071.696.617.346.930,51.440.816.326.530.600,0
1,2010,2.426.866.435.515.870,5.724.883.432.539.680,2.428.118.045.634.920,6.817.778.026.289.680,8.298.056.821.924.610,19.970.064.484.126.900,-69.099.042.658.730.100,8.103.149.801.587.310,1.235.702.152.777.770,5.208.951.587.301.580,5.273.015.873.015.870,0
1,2011,27.318.266.251.859.100,5.528.669.806.643.520,236.998.787.307.883,6.483.008.934.060.490,10.377.233.216.658.400,20.330.882.498.760.500,-7.574.986.117.997.000,8.747.927.615.270.200,12.148.399.702.528.400,4.724.536.787.307.880,5.330.738.720.872.580,2
1,2012,24.995.304.438.046.200,5.708.818.508.997.430,24.580.745.758.354.700,6.565.714.601.542.400,8.520.552.067.866.310,1.897.330.077.120.820,-7.260.549.614.395.880,8.174.246.786.632.400,12.178.173.624.678.600,4.627.090.128.534.700,5.265.501.285.347.040,7
1,2013,2.574.880.859.564.770,5.711.480.263.157.890,24.226.766.143.724.600,6.455.968.914.473.680,9.836.505.391.700.380,19.963.081.983.805.700,-7.472.039.473.684.200,9.384.888.663.967.610,12.080.682.945.344.100,4.547.411.943.319.830,54.047.064.777.327.900,1
1,2014,24.931.264.588.029.900,5.899.476.807.980.050,23.372.831.471.321.600,6.487.954.437.905.220,7.656.955.483.790.510,1.918.215.960.099.750,-706.743.990.024.938,8.406.054.862.842.890,12.230.526.284.289.200,4.630.487.780.548.620,55.543.142.144.638.300,0
1,2015,2.539.522.577.102.330,5.937.740.628.166.150,2.300.290.466.058.760,6.270.642.715.298.890,1.067.868.780.547.110,18.885.643.363.728.400,-7.625.639.311.043.560,9.677.922.998.986.840,12.011.541.134.751.700,4.320.983.687.943.250,5.670.060.790.273.550,7
1,2016,28.417.102.995.548.100,6.002.023.928.770.170,22.139.651.029.493.600,5.928.552.316.082.340,9.398.438.711.741.790,18.116.989.426.822.500,-8.061.056.204.785.750,10.431.329.994.435.100,11.865.262.993.878.600,4.315.320.589.872.010,596.471.897.607.123,0
1,2017,2.860.990.665.261.040,6.122.170.180.722.880,2.111.156.967.871.480,5.904.210.208.835.330,9.709.060.906.626.490,1.917.126.004.016.060,-831.262.951.807.228,1.105.364.959.839.350,11.720.273.995.983.900,4.164.763.112.449.790,6.326.355.421.686.740,1
1,2018,2.676.329.907.750.830,6.635.004.755.111.740,2.060.010.071.326.670,6.024.346.220.161.670,5.421.712.166.904.410,17.632.553.495.007.100,-7.168.785.068.949.120,12.717.555.872.563.000,1.219.223.076.557.290,4.479.212.743.699.470,6.329.624.346.172.130,1
1,2019,2.782.985.863.365.820,6.448.141.097.998.960,20.102.478.809.645.900,5.932.240.360.184.710,7.764.024.697.280.640,17.261.641.867.624.400,-7.722.191.893.278.590,12.104.335.556.695.700,12.023.564.443.304.200,4.588.176.295.536.160,6.525.654.181.631.600,1
1,2020,2.199.308.880.935.960,6.929.043.349.753.700,19.372.839.753.694.500,6.312.316.354.679.790,16.375.524.305.418.700,1.785.354.187.192.110,-6.595.066.995.073.870,14.138.369.458.128.000,12.428.312.857.142.800,5.010.478.078.817.720,6.430.197.044.334.970,1
