valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,artists_song
532,2000,112,The Beatles,386,425653,607,0,0aym2LBJBk9DAYuHHutrIl,"1,38E+11",10,88,-7.7,1,Hey Jude - Remastered 2015,76,261,147.207,The Beatles - Hey Jude - Remastered 2015
866,2000,386,The Beatles,0.49,145747,715,0,4pbG9SUmWIvsROVLF0zF9s,0.0,7,311,-5.549,1,I Want To Hold Your Hand - Remastered 2015,73,476,130.726,The Beatles - I Want To Hold Your Hand - Remastered 2015
435,2000,118,Lifehouse,541,216067,8.640.000.000.000.000,0,0wqOReZDnrefefEsrIGeR4,0.0,1,896,-4.915,1,Hanging By A Moment,65,357,124.557,Lifehouse - Hanging By A Moment
299,2000,466,Linkin Park,0.58,208960,7.020.000.000.000.000,0,57BrRMwf9LrcmuOsyGilwr,3.2e-06,4,536,-5.565,1,Crawling,73,337,105.076,Linkin Park - Crawling
915,2000,281,OutKast,725,240027,0.64,1,6glsMWIMIxQ4BedzLqGVi4,0.0,5,99,-7.905,0,"So Fresh, So Clean",68,332,166.028,"OutKast - So Fresh, So Clean"
885,2000,627,Sam Cooke,691,125440,507,0,2g2GkH3vZHk4lWzBjgQ6nY,0.0,11,457,-10.23,1,(What A) Wonderful World,72,343,128.518,Sam Cooke - (What A) Wonderful World
7.090.000.000.000.000,2000,591,Limp Bizkit,603,213760,933,1,3IV4swNduIRunHREK80owz,0.0,1,206,-3.358,1,Rollin' (Air Raid Vehicle),74,171,96.306,Limp Bizkit - Rollin' (Air Raid Vehicle)
807,2000,116,Shaggy,0.74,235133,7.659.999.999.999.990,0,7FDV5ELOJHCGLe52AnttEd,0.0,6,406,-2.939,1,Angel,72,178,17.053.099.999.999.900,Shaggy - Angel
315,2000,144,Eminem,785,290427,871,1,23wfXwnsPZYe5A1xXRHb3J,0.0,4,309,-2.692,0,The Way I Am,71,265,8.724.799.999.999.990,Eminem - The Way I Am
179,2000,249,Deftones,269,299533,853,0,51c94ac31swyDQj9B3Lzs3,246,7,118,-4.647,0,Change (In the House of Flies),68,854,14.158.100.000.000.000,Deftones - Change (In the House of Flies)
6.609.999.999.999.990,2000,22,Linkin Park,524,184867,939,0,1Vej0qeQ3ioKwpI6FUbRv1,0.0,9,623,-3.994,1,Papercut,72,113,150.184,Linkin Park - Papercut
908,2000,407,*NSYNC,636,192427,873,0,2AW37v0bDyuOzGP3XnmFuA,1.27e-06,0,372,-4.672,0,It's Gonna Be Me,66,71,165.071,*NSYNC - It's Gonna Be Me
7.020.000.000.000.000,2000,1.689.999.999.999.990,Britney Spears,669,255400,843,0,0YWUHZPJVg4iujddsJDwhM,0.0,0,195,-3.766,1,My Only Wish (This Year),72,268,147.08,Britney Spears - My Only Wish (This Year)
454,2000,14,U2,539,246400,926,0,1VuBmEauSZywQVtqbxNqka,136,2,0.36,-6.495,1,Beautiful Day,64,499,136.279,U2 - Beautiful Day
675,2000,778,Sam Cooke,523,162533,402,0,0WVTQp3SOCuMr08jh1jweV,0.0,0,4.320.000.000.000.000,-8.232.999.999.999.990,1,Bring It On Home to Me,68,305,70.863,Sam Cooke - Bring It On Home to Me
967,2000,0.16,Ludacris,915,275907,0.79,1,4LwOrnuxJwR7C5Sw4liY4Z,0.0,6,112,-31.860.000.000.000.000,0,What's Your Fantasy (Featuring Shawna),64,207,140.095,Ludacris - What's Your Fantasy (Featuring Shawna)
475,2000,1.74e-05,Godsmack,395,304373,7.559.999.999.999.990,1,6xXlurslWqFuyqTCBlErzX,665,7,319,-4.12,1,Awake,66,544,112.092,Godsmack - Awake
701,2000,687,Christina Aguilera,575,241507,7.440.000.000.000.000,0,32h59T8q2SonUPJ006lyXt,0.0,1,723,-5.466,1,This Christmas,67,603,183.79,Christina Aguilera - This Christmas
304,2000,3.45e-05,A Perfect Circle,366,247267,894,1,5KDNFlHAdDJ84fhK27c35X,0.17,11,267,-4.682,0,Judith,66,568,82.305,A Perfect Circle - Judith
472,2000,915,Sam Cooke,5.770.000.000.000.000,162467,254,0,5aivQ5CkXXHJoMLy0o92HL,0.0,4,136,-10.13,0,You Send Me,64,302,96.77,Sam Cooke - You Send Me
677,2000,155,Eminem,897,264400,5.589.999.999.999.990,1,5eGEc27nnhtmcOh6RC890a,127,11,296,-8.267.999.999.999.990,1,Kill You,69,379,106.991,Eminem - Kill You
599,2000,0.26,Joe,725,296693,487,0,1m2xMsxbtxv21Brome189p,1.09e-05,8,431,-5.959,0,I Wanna Know,65,368,136.086,Joe - I Wanna Know
609,2000,0.02,Limp Bizkit,5.760.000.000.000.000,272973,8.640.000.000.000.000,1,2gSVKxPDww9Eep5rdvtdem,1.68e-06,6,6.829.999.999.999.990,-3.981,1,My Way,71,462,97.225,Limp Bizkit - My Way
466,2000,354,*NSYNC,0.55,284760,5.870.000.000.000.000,0,46n2EGFnPC3tzWCN1Aqe26,0.0,2,128,-6.279,1,This I Promise You,70,329,165.975,*NSYNC - This I Promise You
7.909.999.999.999.990,2000,24,Ja Rule,831,262827,0.79,1,0OvwzS8FX73Bw7ykMRmffU,0.0,1,515,-4.714,0,Put It On Me,64,165,93.14,Ja Rule - Put It On Me
1.639.999.999.999.990,2000,871,Christina Aguilera,244,243133,274,0,0iV9yfj1knFNOSEiuTHZwl,1.18e-05,8,897,-10.433,1,Have Yourself a Merry Little Christmas,66,0.04,6.853.399.999.999.990,Christina Aguilera - Have Yourself a Merry Little Christmas
769,2000,184,Rage Against The Machine,6.509.999.999.999.990,274160,908,0,5YBVDvTSSSiqv7KZDeUlXA,579,2,384,-4.019,1,Renegades Of Funk,66,577,123.851,Rage Against The Machine - Renegades Of Funk
653,2000,555,OutKast,746,304227,978,1,3WibbMr6canxRJXhNtAvLU,4.11e-05,9,26,-5.324,1,B.O.B. - Bombs Over Baghdad,64,978,153.809,OutKast - B.O.B. - Bombs Over Baghdad
361,2000,4.270.000.000.000.000,Matchbox Twenty,544,274933,659,0,2f5N826udWfjT9iomeaBJt,1.33e-06,9,126,-7.191,1,If You're Gone,66,298,109.933,Matchbox Twenty - If You're Gone
816,2000,0.48,Erykah Badu,753,238733,472,0,7pv80uUHfocFqfTytu1MVi,133,3,284,-9.761,0,Didn't Cha Know,64,121,13.527.700.000.000.000,Erykah Badu - Didn't Cha Know
213,2000,841,Enya,418,218547,249,0,6FLwmdmW77N1Pxb1aWsZmO,6.609.999.999.999.990,3,112,-13.744.000.000.000.000,1,Only Time,71,301,82.803,Enya - Only Time
561,2000,916,Mindless Self Indulgence,0.63,163707,0.76,1,09RhTAi0nuzCs5KS2XWSs5,856,1,766,-10.347,1,Faggot,65,115,152.042,Mindless Self Indulgence - Faggot
779,2000,783,Eminem,918,288200,586,1,7lgvU7WnwcNZ8dbGUz8yhP,0.0,1,145,-2.89,1,Bitch Please II,69,133,95.517,Eminem - Bitch Please II
271,2000,9.62e-05,Mudvayne,623,162293,983,0,7vrLphPq4yjaX7jiDdd2Nc,617,11,261,-3.548,0,Dig,63,151,134.975,Mudvayne - Dig
518,2000,252,Backstreet Boys,575,230093,7.859.999.999.999.990,0,35o9a4iAfLl5jRmqMX9c1D,0.0,9,159,-4.353,1,Shape of My Heart,73,296,96.102,Backstreet Boys - Shape of My Heart
504,2000,5.539.999.999.999.990,Joan Sebastian,5.720.000.000.000.000,207586,433,0,7jtbRKtXtGtsJOBMaBo72W,7.37e-05,5,108,-8.086,1,Me Gustas,71,294,145.375,Joan Sebastian - Me Gustas
635,2000,8.270.000.000.000.000,Radiohead,157,222600,145,0,4DPQvbgSM0IdX4O3HOACwL,8.859.999.999.999.990,6,109,-21.359,1,Treefingers,63,354,138.305,Radiohead - Treefingers
968,2000,523,Los Tucanes De Tijuana,0.92,162840,629,0,1yxJIFPhP2EqnQ6oWJKbmP,0.0,10,116,-4.717,1,Mis Tres Viejas,64,343,98.865,Los Tucanes De Tijuana - Mis Tres Viejas
627,2000,849,Sade,653,274933,429,0,7H3ojI1BsVy0dEJENqMt1k,371,11,693,-10.473,1,By Your Side,68,297,14.607.299.999.999.900,Sade - By Your Side
607,2000,138,Nelly Furtado,622,243160,608,0,4sUoWHVnJl8z3t4zdqf6xB,5.38e-06,10,273,-5.085,1,I'm Like A Bird,61,36,89.661,Nelly Furtado - I'm Like A Bird
195,2000,189,Coldplay,565,273427,546,0,0R8P9KfGJCDULmlEoBagcO,15,11,0.17,-7.496,0,Trouble,72,314,139.757,Coldplay - Trouble
5.539.999.999.999.990,2000,404,Musiq Soulchild,754,251427,376,0,5jgEJXjECdlhzNgfITSTVm,0.0,0,358,-7.561,1,Just Friends (Sunny),59,204,95.018,Musiq Soulchild - Just Friends (Sunny)
512,2000,175,Limp Bizkit,425,321040,852,0,2avKuMN2QXkaG9vvHa2JLt,306,11,935,-5.607,1,Take A Look Around,72,46,101.968,Limp Bizkit - Take A Look Around
457,2000,144,Linkin Park,603,184640,908,0,5rAxhWcgFng3s570sGO2F8,0.0,11,6.709.999.999.999.990,-5.254,1,A Place for My Head,66,184,133.063,Linkin Park - A Place for My Head
892,2000,919,Three 6 Mafia,944,261973,8.390.000.000.000.000,1,2EduiM2UNwjCC7PsLxnOCH,0.0,11,921,-4.141,1,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),58,108,136.019,Three 6 Mafia - Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat)
8.420.000.000.000.000,2000,128,Britney Spears,7.070.000.000.000.000,203000,923,0,5QhBKPqsnX1uY9fZNaAtZg,437,11,273,-3.957,1,Stronger,66,521,108.049,Britney Spears - Stronger
223,2000,188,Deftones,345,368667,797,0,7IoK6jZBxY7NMoQPoPXZCF,668,0,145,-6.152,1,Passenger,62,551,117.987,Deftones - Passenger
624,2000,0.76,Joan Sebastian,569,273009,483,0,47PiSg7z5qjUyEGKN4I1g7,4.75e-05,2,106,-71.110.000.000.000.000,1,Secreto De Amor,67,421,96.502,Joan Sebastian - Secreto De Amor
836,2000,492,Phoenix,755,266600,5.529.999.999.999.990,0,3AA8xNhDC0MpqwkGX3EP5V,607,6,646,-9.449,0,If I Ever Feel Better,66,107,119.7,Phoenix - If I Ever Feel Better
542,2000,263,Mindless Self Indulgence,696,165693,0.72,1,7wwLxmUVLCfySaJ0fdyelI,647,9,192,-6.803.999.999.999.990,1,Bitches,61,976,95.897,Mindless Self Indulgence - Bitches
4.270.000.000.000.000,2000,0.03,Linkin Park,512,200240,0.97,0,5egqKwgK5r5rvGD1LrtR7J,0.0,8,994,-3.886,0,Points of Authority,66,212,94.952,Linkin Park - Points of Authority
966,2000,262,Britney Spears,765,206227,7.909.999.999.999.990,0,2TTYIwTM2iLC1YOyHuhRMt,154,8,669,-57.070.000.000.000.000,1,Lucky,65,317,95.026,Britney Spears - Lucky
912,2000,0.26,The Beatles,377,140920,916,0,6nEkxYIEnrbYH7h1hJ8Xn6,0.0,4,74,-3.199,0,She Loves You - Mono / Remastered,67,481,75.533,The Beatles - She Loves You - Mono / Remastered
629,2000,222,Los Tucanes De Tijuana,665,164467,599,0,587p8shYuTXUhThG3t9x60,0.0,7,123,-5.082,1,El Amor Soñado,63,264,142.975,Los Tucanes De Tijuana - El Amor Soñado
186,2000,992,Frédéric Chopin,225,259493,47,0,2MSgFefjK0T7Iwjvr3OKqV,8.809.999.999.999.990,1,722,-30.928,0,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",66,509,163.665,"Frédéric Chopin - Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth."
406,2000,732,Nelly,8.340.000.000.000.000,285907,481,1,4bUfMNNmiCmPXVyWzIfKeZ,0.0,2,934,-7.824,0,E.I.,59,188,8.984.899.999.999.990,Nelly - E.I.
508,2000,112,Jagged Edge,721,244053,836,0,3VEZvzr84WVnoorZ4tlBSw,0.0,8,235,-3.972,0,He Can't Love U,59,206,126.279,Jagged Edge - He Can't Love U
623,2000,6.990.000.000.000.000,Radiohead,293,251427,462,0,5AiNZnMDCWwujIENPj9PV9,444,5,954,-11.412,0,Everything In Its Right Place,65,453,124.004,Radiohead - Everything In Its Right Place
211,2000,383,A Perfect Circle,518,219640,7.440.000.000.000.000,0,5kHkaBN8OEQlmXfQkACxSt,69.999.999.999.999,9,78,-8.248,1,3 Libras,60,374,144.019,A Perfect Circle - 3 Libras
8.009.999.999.999.990,2000,301,JAY-Z,0.8,227867,922,1,0s46SltT4On0Z6kglK1I5c,9.31e-06,4,352,-5.125,0,I Just Wanna Love U (Give It 2 Me),60,0.24,98.631,JAY-Z - I Just Wanna Love U (Give It 2 Me)
453,2000,206,Coldplay,602,136867,612,0,2QhURnm7mQDxBb5jWkbDug,607,0,107,-8.408.999.999.999.990,1,Don't Panic,65,335,122.062,Coldplay - Don't Panic
614,2000,5.59e-05,The Offspring,491,202573,966,0,6hwQ69v7VbPhTTR2fOtYX7,0.0,4,307,-4.28,1,Want You Bad,67,538,105.544,The Offspring - Want You Bad
0.34,2000,517,Joan Sebastian,594,199483,0.39,0,5susfx6SX1tebTCLSxe74K,0.0,9,118,-9.174,1,Un Idiota,66,396,85.366,Joan Sebastian - Un Idiota
446,2000,142,Linkin Park,636,183973,884,0,6xtQ23d8GEXgcxyUKPtwc5,0.0,7,253,-4.743,1,Runaway,64,584,109.16,Linkin Park - Runaway
504,2000,122,Deftones,338,255373,8.590.000.000.000.000,0,2jSJm3Gv6GLxduWLenmjKS,211,4,936,-4.938,0,Digital Bath,61,824,92.966,Deftones - Digital Bath
0.28,2000,617,Jill Scott,713,280973,541,0,1CeizRCGEYPWooEeVfmyFL,137,6,112,-9.295,0,A Long Walk,55,248,75.714,Jill Scott - A Long Walk
259,2000,573,Switchfoot,426,247893,8.809.999.999.999.990,0,4x3381mYJqptPqT6OKUfmu,693,4,389,-4.526,1,Dare You To Move,59,404,139.986,Switchfoot - Dare You To Move
443,2000,984,Gillian Welch,688,237867,0.26,0,4rJtUMlnhJzlzlnxyoc3tb,247,2,112,-13.686,1,I'll Fly Away,57,349,102.935,Gillian Welch - I'll Fly Away
389,2000,108,3 Doors Down,493,264800,0.88,0,1aC1IBAETh2XYGOE8kCC6t,"2,66E+10",6,226,-6.424,0,Loser,58,693,14.791.299.999.999.900,3 Doors Down - Loser
493,2000,144,Hank Williams,688,255000,459,0,5jVGZTrDusSvwhRDPmZMSB,0.0,7,816,-9.353,1,A Country Boy Can Survive,56,365,75.184,Hank Williams - A Country Boy Can Survive
8.909.999.999.999.990,2000,175,Jagged Edge,7.609.999.999.999.990,263227,627,0,1PmHkalaUHhh0fz23SBHDL,0.0,1,128,-5.553.999.999.999.990,1,Let's Get Married,58,538,109.821,Jagged Edge - Let's Get Married
221,2000,0.16,DAngelo,838,430800,304,0,4oPNN7syJYSjzDhRerF966,257,4,828,-9.975,0,Untitled (How Does It Feel),60,628,112.618,DAngelo - Untitled (How Does It Feel)
339,2000,342,Musiq Soulchild,569,304667,385,0,6uSa5iCMwPr10Ftpz8w09b,0.0,1,876,-9.919,0,Love,55,499,99.738,Musiq Soulchild - Love
39,2000,907,Enya,0.23,156880,159,0,0y6DSMwFO6cLKN1XB85cGV,924,5,102,-16.315,1,A Day Without Rain,63,323,7.061.399.999.999.990,Enya - A Day Without Rain
286,2000,334,Coldplay,396,304200,8.029.999.999.999.990,0,0qksx8mV28lztYIZ1om8ml,0.0,4,688,-6.186,1,Shiver,66,487,116.705,Coldplay - Shiver
7.140.000.000.000.000,2000,431,Modest Mouse,395,259840,443,0,1pPqVrG2RCHXx81Aw4xp99,352,4,504,-7.972,1,Gravity Rides Everything,56,396,103.262,Modest Mouse - Gravity Rides Everything
581,2000,128,Nelly,0.84,327933,591,1,1LnEW2Dx4pFZ4yZ4dXFY4f,0.0,8,251,-64.220.000.000.000.000,1,Batter Up,57,258,159.711,Nelly - Batter Up
912,2000,904,The Beatles,564,139347,8.270.000.000.000.000,0,5hhF25sWnZvXhimOHLjTRE,3.73e-06,7,127,-7.089,1,I Feel Fine - Remastered 2015,63,283,8.984.700.000.000.000,The Beatles - I Feel Fine - Remastered 2015
205,2000,315,Radiohead,168,356333,302,0,69pwmeyvQMuHMtkCmpEWhQ,0.79,6,0.11,-11.645,0,How To Disappear Completely,62,344,102.041,Radiohead - How To Disappear Completely
6.459.999.999.999.990,2000,136,Jagged Edge,7.509.999.999.999.990,246720,568,0,1X1KDnhTnb28tpJlgOV3lD,0.0,5,288,-5.431,0,Promise,57,872,128.002,Jagged Edge - Promise
306,2000,528,3 Doors Down,487,265907,7.020.000.000.000.000,0,3PbHle8KhJp6GuO1jLdEmQ,4.97e-06,7,129,-60.429.999.999.999.900,1,Be Like That,60,238,95.982,3 Doors Down - Be Like That
731,2000,0.12,The Beatles,665,169000,782,0,29b2b96jozyD9GPCkOrVLs,4.19e-06,6,125,-8.437.999.999.999.990,0,Day Tripper - Remastered 2015,62,307,137.453,The Beatles - Day Tripper - Remastered 2015
359,2000,37,Linkin Park,421,203267,978,0,5uuXtfqM7Wp3idCxyHeOll,0.0,6,111,-4.004,0,With You,63,302,196.921,Linkin Park - With You
841,2000,147,The Beatles,472,138200,856,0,0Ui8KPWZbJJQ2Y0CIQuVqX,2.78e-06,7,595,-6.03,1,Paperback Writer - Remastered 2015,62,562,78.696,The Beatles - Paperback Writer - Remastered 2015
721,2000,375,Linkin Park,0.73,260560,585,0,0fxGA5lxrdYNYoE7yJxTNZ,101,0,147,-9.274,1,My December,63,238,100.021,Linkin Park - My December
773,2000,334,Los Cadetes De Linares,6.829.999.999.999.990,182373,556,0,2c6j8sFoaNDbMfolV1eJFp,414,5,702,-12.146,1,Flor de Capomo,62,706,112.784,Los Cadetes De Linares - Flor de Capomo
0.63,2000,114,Rage Against The Machine,598,244693,939,1,4K1DB7EedHPuVnhVrnvf2U,9.26e-06,7,288,-3.663,1,How I Could Just Kill a Man,59,105,95.884,Rage Against The Machine - How I Could Just Kill a Man
294,2000,623,Jill Scott,649,285747,0.3,0,2PzYqACbv12FNhrlHPfJEH,4.46e-06,3,125,-14.74,0,He Loves Me (Lyzel in E Flat),54,498,99.989,Jill Scott - He Loves Me (Lyzel in E Flat)
5.529.999.999.999.990,2000,726,Enya,0.6,227493,3.720.000.000.000.000,0,4MJ4El9vcKHOQT2RNIhrh2,0.59,0,154,-10.477,1,Wild Child,63,256,79.705,Enya - Wild Child
794,2000,238,Hank Williams,0.66,242960,523,0,2lYMQJyM2LOGEG3rVkdFod,0.0,4,142,-12.068,1,Family Tradition,55,608,126.342,Hank Williams - Family Tradition
339,2000,171,Linkin Park,544,189800,935,0,6UzeOH4bRPzKTo2wCXMZmC,301,6,297,-4.159,0,By Myself,61,173,103.026,Linkin Park - By Myself
478,2000,237,The Avalanches,516,261000,916,0,516V4vS25xnGdVgkBWO6Wf,0.0,7,636,-7.255,1,Since I Left You,58,644,102.779,The Avalanches - Since I Left You
597,2000,152,Limp Bizkit,0.6,230240,938,0,6Zj3YsYfj8YTY9aGMDnpn8,"1,48E+11",1,369,-3.615,1,Hot Dog,62,701,101.183,Limp Bizkit - Hot Dog
573,2000,127,Eminem,0.81,319600,7.240.000.000.000.000,1,18ohWhzbMCynq5QJ68ifkW,0.0,4,306,-6.153,0,Criminal,60,268,101.941,Eminem - Criminal
539,2000,0.58,Johnny Cash,626,128200,539,0,5AmPClBlU5sK45i6kMSngt,0.0,9,309,-8.372,1,I Won't Back Down,54,288,113.702,Johnny Cash - I Won't Back Down
643,2000,247,Avant,7.979.999.999.999.990,255600,0.48,0,5S0cvScXb33JVpjTiY9Ivi,0.0,0,237,-5.564,1,Separated,55,276,108.241,Avant - Separated
453,2000,187,Jill Scott,7.170.000.000.000.000,255733,402,0,49aUxrufliNDGj7MTm7pNU,113,1,994,-9.712,1,The Way,53,316,140.418,Jill Scott - The Way
268,2000,361,Eminem,7.290.000.000.000.000,321267,759,1,3X4Oz9LjhhtgyOhVNlfoYa,0.0,11,694,-3.177,0,Marshall Mathers,59,127,95.935,Eminem - Marshall Mathers
342,2000,231,Limp Bizkit,458,221000,978,1,6holGuk1jKHTdWyWBOZi8l,2.12e-06,11,111,-2.389,1,My Generation,66,191,104.012,Limp Bizkit - My Generation
357,2000,871,The Beatles,401,125320,189,0,4E5rL7YL0hVUPqeMSpjEF2,0.0,0,968,-11.189,1,Yesterday - Remastered 2015,60,287,94.509,The Beatles - Yesterday - Remastered 2015
269,2000,703,Ryan Adams,581,318102,271,0,0lngUitwRDbvZ5yVO76dVN,48,10,187,-10.963,1,Come Pick Me Up,56,352,123.625,Ryan Adams - Come Pick Me Up
421,2000,748,Ryan Adams,486,184672,0.73,0,0aLk2Za7r0eGlLOepW2hzL,214,7,361,-64.620.000.000.000.000,1,"To Be Young (Is to Be Sad, Is to Be High)",55,42,92.582,"Ryan Adams - To Be Young (Is to Be Sad, Is to Be High)"
851,2000,146,Eminem,878,309760,595,1,3xVtc7PB4V3AqAfq4Iahli,6.8e-05,11,328,-3.924,0,I'm Back,59,203,89.995,Eminem - I'm Back
574,2000,141,The Beatles,0.65,136827,777,0,1raiIrqaqRAqZmQWZlLuBd,343,2,215,-4.984,1,Lady Madonna - Remastered 2015,61,294,109.608,The Beatles - Lady Madonna - Remastered 2015
8.270.000.000.000.000,2000,358,Los Originales De San Juan,0.77,156160,773,0,2n4F4KH34FujRuaNmFILv7,0.0,7,478,-5.742.999.999.999.990,1,La Caspa Del Diablo,57,223,112.401,Los Originales De San Juan - La Caspa Del Diablo
498,2000,132,Linkin Park,615,194427,947,0,7kxM3UJwN6rHAW5kwdlAHK,0.0,8,366,-3.817,0,Forgotten,61,0.11,108.193,Linkin Park - Forgotten
279,2000,391,Linkin Park,484,191440,913,0,1gAaRSN57UYVRI4eWRyAvP,0.0,6,309,-4.305,1,Pushing Me Away,61,425,103.103,Linkin Park - Pushing Me Away
653,2000,238,Thievery Corporation,8.079.999.999.999.990,286906,8.370.000.000.000.000,0,66KcXPDs1hr8T06KvlJCeA,0.86,9,624,-65.829.999.999.999.900,0,Lebanese Blonde,52,46,92.002,Thievery Corporation - Lebanese Blonde
648,2000,635,The Beatles,378,135693,677,0,1hTUFqJuQAMjXVGwUPWDqi,0.0,2,183,-8.63,1,We Can Work It Out - Remastered 2015,61,298,106.071,The Beatles - We Can Work It Out - Remastered 2015
366,2000,129,Mariah Carey,608,251640,0.76,0,6nTcn8CybBcx0t7IaXEJ6O,0.0,4,332,-5.851,0,Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit,58,242,16.821.099.999.999.900,Mariah Carey - Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit
903,2001,371,Jimmy Eat World,643,165853,8.490.000.000.000.000,0,6GG73Jik4jUlQCkKg9JuGO,0.0,2,58,-5.428,1,The Middle,78,526,16.215.200.000.000.000,Jimmy Eat World - The Middle
499,2001,154,Train,468,259933,0.64,0,2hKdd3qO7cWr2Jo0Bcs0MA,0.0,0,154,-5.862,1,Drops of Jupiter (Tell Me),78,275,79.297,Train - Drops of Jupiter (Tell Me)
6.920.000.000.000.000,2001,481,Papa Roach,589,199907,0.89,1,5W8YXBz9MTIDyrpYaCg2Ky,82,4,201,-3.719,0,Last Resort,80,603,90.598,Papa Roach - Last Resort
6.609.999.999.999.990,2001,719,Weezer,654,200307,0.81,0,2MLHyLy5z5l5YRp7momlgw,251,4,165,-6.26,0,Island In The Sun,76,288,114.623,Weezer - Island In The Sun
286,2001,278,System Of A Down,419,210240,934,0,2DlHlPMa4M17kufBvI2lEN,15,7,132,-3.908,0,Chop Suey!,80,0.12,127.288,System Of A Down - Chop Suey!
524,2001,249,Gorillaz,6.629.999.999.999.990,340920,6.940.000.000.000.000,1,7yMiX7n9SBvadzox8T5jzT,0.0,10,698,-8.627,0,Clint Eastwood,70,172,16.796.400.000.000.000,Gorillaz - Clint Eastwood
5.429.999.999.999.990,2001,135,Nickelback,446,223840,764,0,0gmbgwZ8iqyMPmXefof8Yf,0.0,10,99,-5.042,1,How You Remind Me,78,33,17.209.400.000.000.000,Nickelback - How You Remind Me
687,2001,206,John Mayer,647,249627,7.290.000.000.000.000,0,7vFv0yFGMJW3qVXbAd9BK9,489,5,134,-6.251,1,Your Body Is a Wonderland,76,236,94.01,John Mayer - Your Body Is a Wonderland
481,2001,264,System Of A Down,413,218933,873,0,0snQkGI5qnAmohLE7jTsTn,25,8,204,-4.151,1,Toxicity,78,535,116.681,System Of A Down - Toxicity
376,2001,172,Kid Rock,6.920.000.000.000.000,298960,496,0,69j0KoPJuwpnbGWrfn7Yll,6.42e-06,7,107,-7.332.000.000.000.000,1,Picture (feat. Sheryl Crow),69,241,97.945,Kid Rock - Picture (feat. Sheryl Crow)
