mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,afghan pop,4.106.285.714.285.710,6.517.142.857.142.850,3.265.039.285.714.280,6.515.714.285.714.280,9.111.632.142.857.140,874.607.142.857.143,-9.152.178.571.428.570,844.142.857.142.857,11.359.471.428.571.400,7.841.071.428.571.420,3.932.142.857.142.850,7
1,afghan traditional,958,4.403.333.333.333.330,27.858.133.333.333.300,32.366.666.666.666.600,4.007.066.666.666.660,17.766.666.666.666.600,-1.449.766.666.666.660,14.603.333.333.333.300,9.406.966.666.666.660,7.106.666.666.666.660,6.333.333.333.333.330,1
0,african percussion,327,6.003.636.363.636.360,2.895.562.727.272.720,7.897.272.727.272.720,2.573.806.909.090.900,12.787.272.727.272.700,-6.729.636.363.636.360,797.090.909.090.909,1.301.315.454.545.450,4.457.272.727.272.720,15.454.545.454.545.400,0
1,african reggae,2.458,753,267.673.375,662.125,3.534.624.374.999.990,11.122.500.000.000.000,-7.446.874.999.999.990,5.889.375,1.165.645,7.709.999.999.999.990,458.125,7
1,african rock,13.985.650.416.666.600,6.688.958.333.333.330,2.360.753.125,6.110.625.000.000.000,9.379.615.000.000.000,14.969.375,-936.175,7.265.416.666.666.660,1.157.093.125,6.064.583.333.333.330,42.270.833.333.333.300,8
1,african-american classical,9.255.341.402.855.370,28.397.566.728.739.900,21.861.910.024.829.300,14.219.492.240.844.100,43.202.726.168.218.400,14.335.406.579.764.100,-2.461.947.206.703.910,58.810.474.860.335.100,13.272.893.202.979.500,2.644.644.165.114.830,30.649.441.340.782.100,5
0,afro dancehall,14.390.024.821.969.600,6.434.583.333.333.330,19.956.522.853.535.300,7.646.818.181.818.180,7.226.254.292.929.290,16.877.702.020.202.000,-5.698.983.585.858.580,16.015.214.646.464.600,13.196.408.964.646.400,6.193.598.484.848.480,44.135.101.010.101,11
1,afro house,32.166.666.666.666.600,636,23.657.233.333.333.300,5.706.666.666.666.660,13.356.733.333.333.300,12.583.333.333.333.300,-10.103.833.333.333.300,12.703.333.333.333.300,13.969.799.999.999.900,6.205,4.833.333.333.333.330,6
1,afro psych,2.280.666.666.666.660,6.243.333.333.333.330,33.186.666.666.666.600,722,1.449.692.433.333.330,2.333.333.333.333.330,-10.926.333.333.333.300,5.453.333.333.333.330,111.682,8.303.333.333.333.330,36.0,7
0,afro soul,627,7.659.999.999.999.990,202627.0,873,0.0,764,-6.381,14.300.000.000.000.000,126.988,743,77.0,11
1,afro-funk,1.375.592.592.592.590,8.031.481.481.481.480,28.612.148.148.148.100,7.242.962.962.962.960,7.984.042.222.222.220,9.370.370.370.370.370,-8.909.833.333.333.330,9.594.629.629.629.630,11.417.362.962.962.900,8.796.296.296.296.290,2.833.333.333.333.330,0
1,afrobeat,3.608.718.067.607.340,6.329.610.303.477.760,32.058.421.705.094.900,6.190.763.879.414.470,31.402.376.459.462.200,1.520.585.542.783.830,-9.931.080.518.421.170,6.037.769.285.849.090,11.710.862.177.680.000,710.820.172.464.364,39.994.356.615.573.800,0
1,afrofuturism,2.481.634.593.146.470,6.335.189.768.676.740,28.893.943.166.504.100,581.705.356.229.114,12.796.114.528.470.700,19.754.527.869.490.900,-9.079.584.287.901.100,14.194.756.368.764.900,11.050.069.322.962.100,4.588.383.044.797.960,4.543.323.475.601.020,7
0,afrofuturismo brasileiro,626,484,247120.0,0.81,283,0.11,-4.579,377,144.454,422,37.0,7
1,afropop,436.659.746.365.678,6.258.032.134.839.110,3.099.689.752.713.150,5.345.246.397.821.520,1.513.956.875.250.820,15.988.403.483.848.000,-11.091.498.759.690.700,7.708.472.101.705.900,11.654.245.898.097.400,6.484.711.262.788.870,4.138.034.148.461.420,7
0,afroswing,31.845,71.175,179.995.375,5.801.875,257.895,18.995,-70.166.875,1.955.625,83.250.125,676.625,773.125,11
1,aggrotech,1.186.776,6.013.333.333.333.330,236315.0,7.123.333.333.333.330,25.199.999.999.999.900,25.966.666.666.666.600,-6.408.000.000.000.000,3.423.333.333.333.330,11.672.133.333.333.300,4.433.333.333.333.330,5.566.666.666.666.660,1
1,alabama indie,3.232.776.022.727.270,557.375,24.220.063.636.363.600,6.261.477.272.727.270,57.432.373.863.636.300,11.927.954.545.454.500,-8.763.204.545.454.540,48.718.181.818.181.800,1.202.792.840.909.090,5.246.704.545.454.540,4.763.636.363.636.360,7
1,alabama metal,2.748,4.065,199820.0,8.659.999.999.999.990,"1,11E-03",1.406,-36.660.000.000.000.000,741,110.375,446,49.5,6
1,alabama rap,14.077.273.406.414.300,6.861.151.282.409.340,22.467.631.951.077.500,6.118.896.802.122.600,47.073.708.900.060.500,16.230.897.034.864.700,-6.678.095.261.369.450,16.944.651.957.361.600,11.411.048.540.706.600,4.694.354.280.128.470,5.322.484.522.645.810,2
1,alaska indie,13.386.666.666.666.600,7.396.666.666.666.660,1.866.443.333.333.330,4.646.666.666.666.660,7.75e-05,832,-9.337,4.723.333.333.333.330,13.441.466.666.666.600,7.393.333.333.333.330,5.633.333.333.333.330,6
0,albanian pop,287,6.829.999.999.999.990,187106.0,665,0.0,839,-8.405,499,127.968,667,42.0,8
1,albany ny indie,5.639.999.999.999.990,852,215427.0,251,7.559.999.999.999.990,957,-13.225,683,141.759,18.600.000.000.000.000,0.0,8
1,alberta country,20.776.726.190.476.100,5.939.916.666.666.660,206540.95,7.349.738.095.238.090,"1,96E+11",22.580.333.333.333.300,-657.517.619.047.619,5.575.809.523.809.520,11.351.413.095.238.000,5.968.142.857.142.850,5.149.047.619.047.610,4
0,alberta hip hop,0.33,885,144000.0,685,0.0,14.800.000.000.000.000,-64.289.999.999.999.900,627,99.954,937,78.5,11
1,album rock,18.618.245.479.872.200,512.030.610.234.557,268.948.224.959.657,6.604.173.890.677.080,7.372.189.233.519.720,21.488.953.424.232.000,-9.885.866.901.716.890,5.672.559.901.765.900,12.421.652.716.618,5.518.872.818.188.610,3.826.057.678.819.570,9
1,albuquerque indie,3.502.145.925.925.920,5.621.018.518.518.510,2.277.113.518.518.510,5.874.537.037.037.030,16.405.614.814.814.800,1.803.731.481.481.480,-8.425.898.148.148.140,33.461.111.111.111.100,12.622.573.148.148.100,5.921.296.296.296.290,51.111.111.111.111.100,9
1,alt-idol,304.725,46.625,240353.75,9.662.500.000.000.000,22.580.875,3.509,-26.232.500.000.000.000,16.655.000.000.000.000,13.112.875,38.475,60.25,1
1,alte,692,797,188889.0,5.670.000.000.000.000,0.0,705,-7.502.999.999.999.990,651,108.024,843,66.0,2
1,alternative americana,34.821.927.083.333.300,493.904.513.888.889,22.452.729.861.111.100,4.982.638.888.888.880,17.122.507.756.944.400,19.125.295.138.888.800,-979.526.736.111.111,46.948.784.722.222.200,1.251.544.184.027.770,4.446.961.805.555.550,4.982.291.666.666.660,7
1,alternative country,4.071.150.580.061.160,5.425.796.669.270.000,2.498.878.559.483.770,5.181.552.411.956.070,39.372.664.583.356.400,17.472.283.462.751.600,-10.290.235.627.460.500,4.516.044.423.032.540,12.026.777.292.129.700,5.137.621.412.515.360,4.285.791.917.624.270,9
1,alternative dance,15.180.570.720.400.100,6.040.664.401.877.520,26.843.929.367.821.700,7.370.190.259.126.480,21.127.096.035.679.800,1.914.646.453.326.580,-6.637.478.840.309.940,54.930.511.352.800.500,12.609.572.290.508.400,5.260.616.902.218.970,51.052.498.796.439.000,2
1,alternative emo,12.812.226.154.687.000,4.948.079.814.315.660,2.169.450.483.378.250,7.158.729.260.257.560,43.942.485.902.964.900,1.892.919.646.600.770,-7.037.806.588.799.040,7.211.657.382.449.830,13.059.866.433.063.700,4.431.474.543.276.420,47.246.840.371.368.600,5
1,alternative hip hop,1.882.624.872.239.780,7.009.170.241.158.560,24.641.096.788.355.500,6.928.150.714.421.370,37.373.956.185.381.300,2.346.039.974.925.750,-7.516.890.543.495.350,2.506.472.150.144.860,10.686.016.172.123.100,612.556.826.541.036,47.225.680.902.355.500,1
1,alternative metal,58.247.125.931.528.000,4.588.281.151.396.740,245.465.761.759.632,8.308.012.093.781.890,10.105.935.982.003.300,21.002.977.312.504.200,-5.887.320.968.125.020,8.268.765.750.482.290,1.262.008.731.227.210,4.153.036.925.825.160,47.296.667.266.241.800,2
1,alternative pop,11.006.783.248.665.800,4.550.662.576.444.710,22.123.053.096.509.300,7.592.710.154.263.720,21.461.553.002.913.000,1.725.948.149.737.160,-8.791.657.368.369.060,5.090.413.131.313.130,12.857.391.879.006.900,5.475.577.360.080.390,3.763.709.806.397.300,9
1,alternative pop rock,17.046.744.588.744.500,6.192.294.372.294.370,2.001.459.480.519.480,7.202.441.558.441.550,"1,21E+11",18.758.303.030.303.000,-4.751.005.194.805.190,6.870.593.073.593.070,11.699.954.891.774.800,6.437.601.731.601.730,5.408.095.238.095.230,10
1,alternative r&b,3.071.436.408.855.490,6.622.768.826.542.450,2.324.753.738.807.660,5.442.857.186.530.900,2.197.132.534.809.240,1.720.057.522.211.170,-8.077.162.285.469.460,1.314.752.588.869.060,11.409.290.373.594.300,4.490.272.115.741.770,58.484.194.102.538.500,7
1,alternative rock,15.705.871.937.921.200,4.783.424.276.886.560,24.033.944.120.031.700,7.117.322.313.989.150,16.548.782.911.256.400,19.039.048.143.802.600,-8.305.646.269.880.690,62.274.000.533.020.400,1.254.851.876.376.680,5.058.402.960.386.070,4.272.960.825.695.090,7
1,alternative roots rock,2.691.217.368.421.050,4.933.421.052.631.570,253674.0,618.157.894.736.842,10.720.808.815.789.400,16.963.421.052.631.500,-72.721.710.526.315.700,5.849.473.684.210.520,11.322.678.947.368.400,4.261.842.105.263.150,4.576.315.789.473.680,9
0,ambeat,4.431.139.926.739.920,748.507.326.007.326,23.465.849.450.549.400,6.540.732.600.732.590,16.806.978.754.578.700,1.392.917.582.417.580,-7.358.032.967.032.960,1.387.919.413.919.410,9.854.111.355.311.350,6.927.600.732.600.730,49.701.465.201.465.200,1
1,ambient,6.732.743.467.076.500,3.350.752.947.488.820,3.506.768.253.885.040,27.629.745.841.177.000,7.529.056.017.847.170,12.553.576.966.443.900,-1.952.910.198.007.920,43.267.816.669.735.600,10.728.752.653.132.100,19.148.207.614.507.400,4.324.113.652.812.280,11
1,ambient black metal,1.325.495,2.638.333.333.333.330,356480.0,7.681.666.666.666.660,7.681.833.333.333.330,3.260.333.333.333.330,-9.345.000.000.000.000,5.736.666.666.666.660,11.102.750.000.000.000,24.101.666.666.666.600,4.383.333.333.333.330,4
1,ambient folk,6.440.242.450.142.440,5.285.972.934.472.930,2.294.498.165.242.160,3.786.123.076.923.070,15.437.271.593.304.800,1.588.068.945.868.940,-1.200.958.618.233.610,5.865.545.584.045.580,11.424.553.490.028.400,3.076.021.367.521.360,4.430.612.535.612.530,9
0,ambient house,6.545.000.000.000.000,6.359.999.999.999.990,294900.0,8.122.499.999.999.990,16.460.000.000.000.000,0.29,-1.218.375,45.725,115.005,4.335,40.5,6
1,ambient idm,4.775,35.050.000.000.000.000,364264.0,5.794.999.999.999.990,46.250.715,1.205,-10.509.999.999.999.900,575,1.504.915,2.385,54.0,8
1,ambient industrial,431,746,234013.0,723,0.82,849,-15.59,457,126.575,0.92,28.0,0
1,ambient pop,7.447.083.333.333.330,27.641.666.666.666.600,22.879.646.666.666.600,21.773,7.208.758.000.000.000,12.652.333.333.333.300,-17.869,36.085.000.000.000.000,9.592.368.333.333.330,16.866.833.333.333.300,4.458.333.333.333.330,2
0,ambient techno,12.025,726,36.174.466.666.666.600,5.588.333.333.333.330,3.489,939,-13.136.666.666.666.600,317,12.289.266.666.666.600,8.104.166.666.666.660,36.833.333.333.333.300,1
1,ambient worship,5.109.172.222.222.220,33.742.777.777.777.700,30.178.186.527.777.700,4.615.041.666.666.660,2.321.298.890.416.660,11.332.625,-9.622.626.388.888.890,3.748.930.555.555.550,10.461.098.055.555.500,21.575.333.333.333.300,5.490.972.222.222.220,6
1,american 21st century classical,987,15.565,254533.0,2.395,8.915.000.000.000.000,968,-29.108,451,6.916.649.999.999.990,4.755,46.5,1
1,american choir,895.728.896.103.896,22.974.074.248.120.300,2.123.632.002.734.100,20.958.319.805.194.800,15.539.760.125.598.000,336.345.078.605.605,-19.877.883.885.850.900,9.686.184.210.526.310,10.375.853.251.025.200,19.592.520.933.014.300,2.371.227.785.372.520,6
1,american classical piano,9.766.781.523.472.090,3.553.547.222.172.730,2.989.952.670.396.940,965.707.140.494.388,8.111.316.967.654.980,13.638.797.804.035.800,-2.565.141.646.685.480,4.669.852.062.747.670,10.473.920.251.395.900,2.466.597.114.470.220,2.439.556.906.216.920,8
1,american contemporary classical,9.383.158.147.749.040,3.181.496.647.509.570,33.171.474.317.229.400,11.108.843.525.502.800,481.779.547.225.934,14.299.419.779.693.400,-25.939.671.039.870.600,5.162.211.386.494.250,9.985.311.179.058.910,2.673.089.520.474.130,3.058.515.625,9
1,american early music,995,1.715,160866.5,6.905,415.615,121,-26.524.500.000.000.000,5.225,1.686.375,923,41.0,6
1,american folk revival,8.494.754.221.484.910,5.351.211.372.263.020,17.088.991.076.588.800,23.100.901.435.033.600,3.720.948.037.557.110,1.648.142.832.740.190,-15.390.472.594.469.900,7.607.137.742.243.280,11.264.414.577.679.900,5.249.713.529.734.970,1.869.569.121.216.550,2
0,american metalcore,257.805,4.074.999.999.999.990,230631.0,9.279.999.999.999.990,266.125,185.425,-4.625.000.000.000.000,2.014,15.146.099.999.999.900,2.129,44.0,9
1,american modern classical,8.906.899.671.532.340,3.973.823.574.849.170,28.007.785.890.892.900,2.668.459.794.892.680,419.244.293.047.126,2.324.952.150.490.890,-17.601.216.754.556.200,13.117.113.606.415.900,11.709.688.837.919.800,40.150.475.795.006.100,8.804.251.166.944.680,7
0,american oi,5.382.361.999.999.990,4.955.200.000.000.000,15.865.327.999.999.900,51.652,3.233.761.200.000.000,349.756,-12.559.320.000.000.000,4.590.000.000.000.000,14.233.868,7.918.399.999.999.990,2.672.000.000.000.000,5
1,american orchestra,8.773.235.141.712.300,2.672.358.330.558.820,3.439.285.888.429.480,17.599.450.114.581.500,5.513.107.056.471.630,23.903.808.549.231.900,-21.826.575.462.080.200,54.643.213.384.280.400,10.177.994.512.400.900,21.279.894.489.221.500,23.995.722.638.899.700,0
1,american post-rock,3.120.729.583.333.330,4.566.979.166.666.660,3.001.172.604.166.660,4.505.552.083.333.330,6.765.515.833.333.330,16.027.916.666.666.600,-1.317.078.125,43.067.708.333.333.300,11.122.938.541.666.600,2.371.072.916.666.660,4.751.041.666.666.660,1
1,american primitive,6.602.178.279.569.890,3.490.272.401.433.690,32.863.867.383.512.500,3.724.985.663.082.430,8.419.738.351.254.470,12.936.620.071.684.500,-14.712.518.279.569.800,417.268.817.204.301,12.015.716.272.401.400,37.671.433.691.756.200,2.287.849.462.365.590,11
1,american romanticism,9.545.708.041.958.040,3.173.994.755.244.750,18.761.650.524.475.500,14.343.715.034.965.000,4.849.568.627.972.020,14.391.923.076.923.000,-1.962.419.405.594.400,42.859.527.972.027.900,11.572.976.311.188.800,2.346.690.559.440.550,1.646.153.846.153.840,1
1,american shoegaze,19.400.142,3.704,339934.8,7.158,6.325.999.999.999.990,15.913.333.333.333.300,-9.320.466.666.666.660,3.630.666.666.666.660,11.041.086.666.666.600,4.142,4.506.666.666.666.660,6
0,anadolu rock,5.589,5.321,252515.3,47.200.000.000.000.000,174.072,1.769,-131.144,7.428,986.146,6.317.999.999.999.990,41.2,7
1,anarcho-punk,5.618.286.782.051.280,28.627.264.957.264.900,2.052.653.316.239.310,8.606.162.393.162.390,9.358.304.427.350.420,2.868.564.102.564.100,-9.565.661.538.461.530,1.265.423.076.923.070,1.779.410.769.230.760,5.194.268.376.068.370,3.904.358.974.358.970,9
1,anglican liturgy,933.919.191.919.192,2.392.565.656.565.650,21.850.458.585.858.500,1.345.641.414.141.410,3.680.460.555.555.550,13.819.040.404.040.400,-2.154.920.202.020.200,6.016.515.151.515.150,8.686.002.525.252.520,2.706.393.939.393.930,2.121.212.121.212.120,0
1,animal singing,8.059.999.999.999.990,799,126286.5,6.395,0.0,1.935,-59.875,4.235,1.146.885,9.025,11.0,7
1,anime,12.659.077.621.972.600,4.836.419.202.644.200,24.051.682.043.992.000,8.271.425.737.100.730,9.152.758.156.848.890,180.590.817.977.068,-4.833.713.902.538.900,7.665.244.281.619.270,133.086.681.964.432,4.573.374.254.124.250,55.960.329.647.829.600,1
1,anime latino,280.674.382,49.878,23.037.622.000.000.000,8.619,"4,48E-02",265.878,-32.522,51.698,14.234.088,5.861.959.999.999.990,57.3,0
1,anime rock,8.612.389.682.539.680,5.016.576.719.576.720,233.282.091.005.291,8.613.870.370.370.360,2.191.361.333.333.330,2.287.392.592.592.590,-3.733.998.148.148.140,8.004.579.365.079.360,13.497.291.772.486.700,5.243.174.603.174.600,5.907.222.222.222.220,11
1,anime score,3.001.385.636.021.490,4.735.439.909.670.020,22.379.140.982.048.900,647.054.981.249.025,3.008.432.606.336.700,16.684.624.097.115.600,-8.463.057.128.094.620,7.364.751.518.919.890,12.306.658.317.640.900,37.491.254.334.718.900,5.053.980.281.174.040,5
1,ann arbor indie,27.776.999.999.999.900,5.473.723.076.923.070,2.179.049.846.153.840,4.504.707.692.307.690,12.485.267.984.615.300,13.048.092.307.692.300,-8.802.236.923.076.920,6.033.723.076.923.070,8.971.947.076.923.070,3.518.830.769.230.760,5.357.230.769.230.760,6
1,anthem emo,13.711.634.631.336.400,5.088.797.235.023.040,20.994.896.897.081.400,7.309.107.526.881.720,15.013.798.924.731.100,2.160.917.665.130.560,-6.018.700.307.219.660,7.801.917.050.691.240,13.043.316.113.671.200,42.866.712.749.615.900,5.112.964.669.738.860,5
1,anthem worship,21.437.770.714.790.500,4.736.439.744.173.600,2.953.939.840.439.680,6.044.717.815.758.260,1.887.525.373.014.140,22.287.702.422.807.100,-7.504.177.604.929.930,47.725.613.725.463.200,12.293.612.993.328.100,3.279.395.366.817.830,5.303.484.529.461.590,11
1,anti-folk,4.478.504.474.790.850,5.122.209.371.908.240,2.229.718.225.081.430,5.295.718.562.146.990,14.781.885.953.029.300,17.975.017.857.175.800,-9.709.752.455.580.800,57.295.694.987.278.200,12.143.844.573.824.200,5.013.088.334.543.560,4.437.824.682.273.640,7
1,antilliaanse folklore,0.95,583,190787.0,5.660.000.000.000.000,847,109,-15.002,476,124.095,932,0.0,0
1,antiviral pop,17.766.136.279.886.700,6.606.965.950.715.950,20.600.262.887.112.800,7.229.747.335.997.330,1.915.489.696.386.940,21.847.258.991.008.900,-6.718.926.989.676.990,10.773.111.055.611.000,12.382.994.014.319.000,6.122.801.781.551.780,543.221.361.971.362,2
1,appalachian folk,7.895.768.912.437.670,5.505.155.188.554.030,18.322.635.682.643.000,3.328.343.937.305.260,10.195.887.655.711.300,1.972.383.479.614.150,-13.286.964.224.022.500,6.848.259.106.079.640,12.115.910.383.360.900,6.413.043.110.775.410,19.271.003.039.359.700,9
1,arab folk,8.366.269.163.292.840,3.939.167.192.456.660,36.751.746.227.675.800,2.808.800.651.979.590,3.530.875.701.304.610,25.259.682.138.037.400,-16.097.358.330.266.200,6.612.768.393.886.810,10.356.169.157.158.600,4.362.034.342.850.130,21.271.099.514.520.500,7
0,arab groove,4.122.283.333.333.330,5.436.666.666.666.660,21.285.916.666.666.600,4.224.166.666.666.660,4.692.515.625,19.041.666.666.666.600,-1.297.525,3.464.166.666.666.660,11.164.358.333.333.300,5.035,38.833.333.333.333.300,10
0,arab pop,4.787.710.884.353.740,5.789.103.741.496.600,2.869.140.157.312.920,5.411.381.802.721.080,5.500.491.490.306.120,17.022.542.517.006.700,-9.560.584.948.979.590,53.887.576.530.612.200,11.962.892.823.129.200,6.027.473.639.455.780,35.188.775.510.204.000,0
1,arabesk,5.631.999.999.999.990,415,226634.2,5.714,"9,92E-01",10.428,-87.186,4.948,1.422.314,4.826,43.6,8
1,arabic hip hop,0.78,35.100.000.000.000.000,493796.0,606,0.0,535,-0.91,311,87.889,513,0.0,0
0,arabic jazz,9.076.666.666.666.660,4.878.333.333.333.330,39.797.133.333.333.300,17.183.333.333.333.300,3.396.255,12.633.333.333.333.300,-19.114,4.578.333.333.333.330,11.893.916.666.666.600,386,3.616.666.666.666.660,7
0,argentine ambient,8.341.666.666.666.660,4.756.666.666.666.660,16.227.316.666.666.600,35.372.999.999.999.900,5.200.015.833.333.330,13.633.333.333.333.300,-14.393.166.666.666.600,3.855,14.423.033.333.333.300,29.950.000.000.000.000,5.483.333.333.333.330,4
1,argentine hardcore,1.081,6.900.000.000.000.000,239713.5,6.535,1.150.665,3.726,-9.742,5.555,1.095.345,655,47.5,6
1,argentine heavy metal,501.025,58.375,316881.25,759.375,8.593.275.000.000.000,1.492,-7.255.749.999.999.990,1.272.625,14.501.850.000.000.000,507.375,52.625,11
1,argentine hip hop,3.449.875,737.125,30.302.804.166.666.600,6.904.791.666.666.660,"7,76E+08",1.094.875,-49.554.375,15.534.166.666.666.600,13.972.464.583.333.300,5.983.541.666.666.660,7.497.916.666.666.660,1
1,argentine indie,29.211.514.285.714.200,5.578.571.428.571.420,2.959.734.142.857.140,5.646.314.285.714.280,1.636.000.085.714.280,16.835.142.857.142.800,-12.613.314.285.714.200,4.914.142.857.142.850,10.124.104.285.714.200,5.946.142.857.142.850,51.1,6
1,argentine metal,185,0.62,293360.0,816,7.409.999.999.999.990,984,-62.079.999.999.999.900,222,17.999.200.000.000.000,6.679.999.999.999.990,49.0,1
1,argentine punk,3.646.833.333.333.330,5.710.000.000.000.000,24.344.916.666.666.600,7.864.999.999.999.990,49.088.833.333.333.300,4.062,-7.974.833.333.333.330,578,10.819.316.666.666.600,5.781.666.666.666.660,5.016.666.666.666.660,6
1,argentine reggae,8.302.444.444.444.440,7.523.425.925.925.920,2.370.225.185.185.180,5.389.537.037.037.030,319.994.074.074.074,10.976.574.074.074.000,-7.863.740.740.740.740,7.218.703.703.703.700,1.280.917.777.777.770,7.569.074.074.074.070,6.027.777.777.777.770,9
1,argentine rock,23.388.650.295.429.800,5.855.264.629.397.450,26.114.408.762.761.800,6.270.374.086.373.790,5.423.578.392.859.030,20.437.384.492.758.900,-9.387.355.544.835.390,4.835.432.771.099.770,1.164.855.398.368.680,5.866.263.886.163.980,5.563.371.341.720.180,7
1,argentine telepop,194,622,201773.0,6.970.000.000.000.000,0.0,305,-11.158,288,138.013,843,59.0,9
1,arizona punk,3.678,4.903.333.333.333.330,23.554.233.333.333.300,9.396.666.666.666.660,"4,00E-07",1.931,-37.956.666.666.666.600,9.503.333.333.333.330,116.578,4.443.333.333.333.330,49.0,11
